TITLE: ;Bill of Materials;
DATE: ;08/07/2026   16:16
DESIGN: ;TestDesign
Variant: ;
ROOM;PART_NUMBER;Qty;Ref Des;DESCRIPTION;PKGS;STATUS;VALUE;
eBB000959_02;B103281;1;01C01;CER 1nF 5% 50V C0G 0402;0402;Not for new design;1nF;
eBB000959_02;B000021351;1;01C02;CER 1nF 10% 50V X7R 0603;0603;Allowed;1nF;
eBB000959_02;B103281;1;01C03;CER 1nF 5% 50V C0G 0402;0402;Not for new design;1nF;
eBB000959_02;B103281;1;01C04;CER 1nF 5% 50V C0G 0402;0402;Not for new design;1nF;
eBB000959_02;B000021351;1;01C05;CER 1nF 10% 50V X7R 0603;0603;Allowed;1nF;
eBB000959_02;B000021351;1;01C06;CER 1nF 10% 50V X7R 0603;0603;Allowed;1nF;
eBB000959_02;B103281;1;01C07;CER 1nF 5% 50V C0G 0402;0402;Not for new design;1nF;
eBB000959_02;B000021351;1;01C08;CER 1nF 10% 50V X7R 0603;0603;Allowed;1nF;
eBB000959_02;B103281;1;01C10;CER 1nF 5% 50V C0G 0402;0402;Not for new design;1nF;
eBB000959_02;B000021843;1;01D01;D SCHOT DUAL SERIAL 200mA 30V BAT54SW SOT323;SOT323;Recommended;BAT54SW;
eBB000959_02;B000032977;1;01D02;DIOD TVS BI 15V/24V 160W SOD323;SOD323;Allowed;PESD1LIN;
eBB000959_02;B000021843;1;01D03;D SCHOT DUAL SERIAL 200mA 30V BAT54SW SOT323;SOT323;Recommended;BAT54SW;
eBB000959_02;B000032977;1;01D04;DIOD TVS BI 15V/24V 160W SOD323;SOD323;Allowed;PESD1LIN;
eBB000959_02;B000021843;1;01D05;D SCHOT DUAL SERIAL 200mA 30V BAT54SW SOT323;SOT323;Recommended;BAT54SW;
eBB000959_02;B000021843;1;01D06;D SCHOT DUAL SERIAL 200mA 30V BAT54SW SOT323;SOT323;Recommended;BAT54SW;
eBB000959_02;B000032521;1;01FL01;FL CAN 51uH ACT45B;EMC;Allowed;51uH;
eBB000959_02;B000028822;1;01R01;RC 5.6K 1% 100mW TF 0603;0603;Allowed;5.6K;
eBB000959_02;B000028822;1;01R02;RC 5.6K 1% 100mW TF 0603;0603;Allowed;5.6K;
eBB000959_02;B000026605;1;01R03;RC 1K 1% 250mW TF 1206;1206;Allowed;1K;
eBB000959_02;B000026605;1;01R04;RC 1K 1% 250mW TF 1206;1206;Allowed;1K;
eBB000959_02;B000026605;1;01R05;RC 1K 1% 250mW TF 1206;1206;Allowed;1K;
eBB000959_02;B000028822;1;01R06;RC 5.6K 1% 100mW TF 0603;0603;Allowed;5.6K;
eBB000959_02;B000026179;1;01R07;RC 0 100mW TF 0603;0603;Allowed;0;
eBB000959_02;B000026179;1;01R08;RC 0 100mW TF 0603;0603;Allowed;0;
eBB000959_02;B000026605;1;01R09;RC 1K 1% 250mW TF 1206;1206;Allowed;1K;
eBB000971;B465011;1;02C01;CAP 100nF 10% 16V X7R 0402 DECOUPLING;0402;Limited;100nF;
eBB000971;B103281;1;02C02;CER 1nF 5% 50V C0G 0402;0402;Not for new design;1nF;
eBB000971;B103281;1;02C03;CER 1nF 5% 50V C0G 0402;0402;Not for new design;1nF;
eBB000971;B103281;1;02C04;CER 1nF 5% 50V C0G 0402;0402;Not for new design;1nF;
eBB000971;B177651;1;02R01;RES 2.2K 0.1% 100mW THIN 25ppm 0603;0603;Allowed;2.2K;
eBB000971;B177651;1;02R02;RES 2.2K 0.1% 100mW THIN 25ppm 0603;0603;Allowed;2.2K;
eBB000971;B000026087;1;02R03;RC 200 1% 100mW TF 0603;0603;Allowed;200;
eBB000971;B000026087;1;02R04;RC 200 1% 100mW TF 0603;0603;Allowed;200;
eBB000971;B465011;1;C06;CAP 100nF 10% 16V X7R 0402 DECOUPLING;0402;Limited;100nF;
eBB000971;B465011;1;C05;CAP 100nF 10% 16V X7R 0402 DECOUPLING;0402;Limited;100nF;
eBB000971;B670562;1;05U01;IC AMP DUAL 3mV/36V LM2904BQPWRQ1 TSSOP8;2903;Allowed;LM2904BQPWRQ1;
eBB000971;B000026179;1;05R10;RC 0 100mW TF 0603;0603;Allowed;0;
eBB000971;B000026179;1;02R09;RC 0 100mW TF 0603;0603;Allowed;0;
eBB000971;B670562;1;02U01;IC AMP DUAL 3mV/36V LM2904BQPWRQ1 TSSOP8;2903;Allowed;LM2904BQPWRQ1;
eBB000971;B103281;1;03C01;CER 1nF 5% 50V C0G 0402;0402;Not for new design;1nF;
eBB000971;B103281;1;03C02;CER 1nF 5% 50V C0G 0402;0402;Not for new design;1nF;
eBB000971;B103281;1;03C05;CER 1nF 5% 50V C0G 0402;0402;Not for new design;1nF;
eBB000971;B465011;1;03C08;CAP 100nF 10% 16V X7R 0402 DECOUPLING;0402;Limited;100nF;
eBB000971;B177651;1;03R01;RES 2.2K 0.1% 100mW THIN 25ppm 0603;0603;Allowed;2.2K;
eBB000971;B177651;1;03R02;RES 2.2K 0.1% 100mW THIN 25ppm 0603;0603;Allowed;2.2K;
eBB000971;B000026087;1;03R03;RC 200 1% 100mW TF 0603;0603;Allowed;200;
eBB000971;B000026087;1;03R04;RC 200 1% 100mW TF 0603;0603;Allowed;200;
eBB000971;B000026087;1;05R04;RC 200 1% 100mW TF 0603;0603;Allowed;200;
eBB000971;B000026087;1;05R03;RC 200 1% 100mW TF 0603;0603;Allowed;200;
eBB000971;B177651;1;05R02;RES 2.2K 0.1% 100mW THIN 25ppm 0603;0603;Allowed;2.2K;
eBB000971;B177651;1;05R01;RES 2.2K 0.1% 100mW THIN 25ppm 0603;0603;Allowed;2.2K;
eBB000971;B000026179;1;03R12;RC 0 100mW TF 0603;0603;Allowed;0;
eBB000971;B670562;1;03U01;IC AMP DUAL 3mV/36V LM2904BQPWRQ1 TSSOP8;2903;Allowed;LM2904BQPWRQ1;
eBB000971;B103281;1;04C01;CER 1nF 5% 50V C0G 0402;0402;Not for new design;1nF;
eBB000971;B103281;1;04C02;CER 1nF 5% 50V C0G 0402;0402;Not for new design;1nF;
eBB000971;B103281;1;04C05;CER 1nF 5% 50V C0G 0402;0402;Not for new design;1nF;
eBB000971;B465011;1;04C08;CAP 100nF 10% 16V X7R 0402 DECOUPLING;0402;Limited;100nF;
eBB000971;B177651;1;04R01;RES 2.2K 0.1% 100mW THIN 25ppm 0603;0603;Allowed;2.2K;
eBB000971;B177651;1;04R02;RES 2.2K 0.1% 100mW THIN 25ppm 0603;0603;Allowed;2.2K;
eBB000971;B000026087;1;04R03;RC 200 1% 100mW TF 0603;0603;Allowed;200;
eBB000971;B000026087;1;04R04;RC 200 1% 100mW TF 0603;0603;Allowed;200;
eBB000971;B465011;1;05C08;CAP 100nF 10% 16V X7R 0402 DECOUPLING;0402;Limited;100nF;
eBB000971;B103281;1;05C05;CER 1nF 5% 50V C0G 0402;0402;Not for new design;1nF;
eBB000971;B103281;1;05C02;CER 1nF 5% 50V C0G 0402;0402;Not for new design;1nF;
eBB000971;B103281;1;05C01;CER 1nF 5% 50V C0G 0402;0402;Not for new design;1nF;
eBB000971;B000026179;1;04R12;RC 0 100mW TF 0603;0603;Allowed;0;
eBB000971;B670562;1;04U01;IC AMP DUAL 3mV/36V LM2904BQPWRQ1 TSSOP8;2903;Allowed;LM2904BQPWRQ1;
eBB000966;B279226;1;Y01;QTZ 20MHz 10ppm 5pF SMD;NX2016AA;Allowed;20MHz;
eBB000966;2PINSHORT;1;NET01;VIRTUAL WIRE CONNEXION ROUND PAD 0.1;Circle_0M1;;;
eBB000966;B000031878;1;R08;RC 100 1% 63mW TF 0402;0402;Allowed;100;
eBB000966;B000031995;1;C08;CER 10pF 5% 50V C0G 0402;0402;Allowed;10pF;
eBB000966;B000031995;1;C07;CER 10pF 5% 50V C0G 0402;0402;Allowed;10pF;
IPSU_SUP;B151664;1;D01;DIOD PROT ESD 24V 3.5A SOT323;DUAL_BIDI;Allowed;PESD2IVN24-UX;
IPSU_SUP;B000026179;1;R02;RC 0 100mW TF 0603;0603;Allowed;0;
IPSU_SUP;B000026179;1;R01;RC 0 100mW TF 0603;0603;Allowed;0;
IPSU_SUP;B200590;1;FL01;INDUC COM-MODE 470uH 500/700mA 170mR SMD;B82790;Limited;470uH;
IPSU_SUP;B000021351;1;C11;CER 1nF 10% 50V X7R 0603;0603;Allowed;1nF;
IPSU_SUP;B000021351;1;C12;CER 1nF 10% 50V X7R 0603;0603;Allowed;1nF;
IPSU_SUP;B000021351;1;C10;CER 1nF 10% 50V X7R 0603;0603;Allowed;1nF;
IPSU_SUP;B000021351;1;C09;CER 1nF 10% 50V X7R 0603;0603;Allowed;1nF;
IPSU_SUP;B000021351;1;C04;CER 1nF 10% 50V X7R 0603;0603;Allowed;1nF;
IPSU_SUP;B000021351;1;C01;CER 1nF 10% 50V X7R 0603;0603;Allowed;1nF;
IPSU_SUP;B000021351;1;C02;CER 1nF 10% 50V X7R 0603;0603;Allowed;1nF;
IPSU_SUP;B000021351;1;C03;CER 1nF 10% 50V X7R 0603;0603;Allowed;1nF;
;B200613;1;02R07;RES 3.3K 0.1% 100mW THIN 0603;0603;Allowed;3.3K;
;B172234;1;02R06;RES 47 1% 100mW TF 0603;0603;Allowed;47;
;B200613;1;02R05;RES 3.3K 0.1% 100mW THIN 0603;0603;Allowed;3.3K;
;B172234;1;03R09;RES 47 1% 100mW TF 0603;0603;Allowed;47;
;B200613;1;04R05;RES 3.3K 0.1% 100mW THIN 0603;0603;Allowed;3.3K;
;B172234;1;02R08;RES 47 1% 100mW TF 0603;0603;Allowed;47;
;B172234;1;05R09;RES 47 1% 100mW TF 0603;0603;Allowed;47;
;B172234;1;04R06;RES 47 1% 100mW TF 0603;0603;Allowed;47;
;B200613;1;05R07;RES 3.3K 0.1% 100mW THIN 0603;0603;Allowed;3.3K;
;B172234;1;05R06;RES 47 1% 100mW TF 0603;0603;Allowed;47;
;B000068555;1;D02;IR LED 850nm VSMY1850X01 0805;0805;Not for new design;VSMY1850X01;
;B000068555;1;D03;IR LED 850nm VSMY1850X01 0805;0805;Not for new design;VSMY1850X01;
;B000068555;1;D04;IR LED 850nm VSMY1850X01 0805;0805;Not for new design;VSMY1850X01;
;B200613;1;05R05;RES 3.3K 0.1% 100mW THIN 0603;0603;Allowed;3.3K;
;B000044612;1;J01;JST 01x08 SRSS ST NAT;8PIN2T;Recommended;BM08B-SRSS-TBT;
;B000044612;1;J02;JST 01x08 SRSS ST NAT;8PIN2T;Recommended;BM08B-SRSS-TBT;
;B000044612;1;J03;JST 01x08 SRSS ST NAT;8PIN2T;Recommended;BM08B-SRSS-TBT;
;B000021667;1;J04;PLATE LOUPOT 2.4x0.6 ST POLINE;1PIN;Allowed;EAVP 98196B2;
;B000021667;1;J05;PLATE LOUPOT 2.4x0.6 ST POLINE;1PIN;Allowed;EAVP 98196B2;
;B000021667;1;J06;PLATE LOUPOT 2.4x0.6 ST POLINE;1PIN;Allowed;EAVP 98196B2;
;B200613;1;04R07;RES 3.3K 0.1% 100mW THIN 0603;0603;Allowed;3.3K;
;B000027624;1;Q01;TR-NET N/P BCR08PN SOT363;NP_EBC_2R;Recommended;QBCR08PN;
;B000027624;1;Q02;TR-NET N/P BCR08PN SOT363;NP_EBC_2R;Recommended;QBCR08PN;
;B200613;1;03R05;RES 3.3K 0.1% 100mW THIN 0603;0603;Allowed;3.3K;
;B172234;1;03R06;RES 47 1% 100mW TF 0603;0603;Allowed;47;
;B000028343;1;R03;RC 47K 5% 63mW TF 0402;0402;Recommended;47K;
;B000028343;1;R04;RC 47K 5% 63mW TF 0402;0402;Recommended;47K;
;B000028224;1;R05;RC 22 5% 63mW TF 0402;0402;Recommended;22;
;B000031908;1;R06;RES 3.3K 5% 63mW TF 0402;0402;Recommended;3.3K;
;B000031908;1;R07;RES 3.3K 5% 63mW TF 0402;0402;Recommended;3.3K;
;B200613;1;03R07;RES 3.3K 0.1% 100mW THIN 0603;0603;Allowed;3.3K;
;B000031908;1;R09;RES 3.3K 5% 63mW TF 0402;0402;Recommended;3.3K;
;B000028224;1;R10;RC 22 5% 63mW TF 0402;0402;Recommended;22;
;B000031908;1;R11;RES 3.3K 5% 63mW TF 0402;0402;Recommended;3.3K;
;B000028224;1;R12;RC 22 5% 63mW TF 0402;0402;Recommended;22;
;B000028224;1;R13;RC 22 5% 63mW TF 0402;0402;Recommended;22;
;B000031908;1;R14;RES 3.3K 5% 63mW TF 0402;0402;Recommended;3.3K;
;B000031908;1;R15;RES 3.3K 5% 63mW TF 0402;0402;Recommended;3.3K;
;B000028343;1;R16;RC 47K 5% 63mW TF 0402;0402;Recommended;47K;
;B000028343;1;R17;RC 47K 5% 63mW TF 0402;0402;Recommended;47K;
;B000028343;1;R18;RC 47K 5% 63mW TF 0402;0402;Recommended;47K;
;B000028343;1;R19;RC 47K 5% 63mW TF 0402;0402;Recommended;47K;
;B000028176;1;U01;SHFT 74HC595 8bit TSSOP16;74XX595;Allowed;74HC595;
;B000028176;1;U02;SHFT 74HC595 8bit TSSOP16;74XX595;Allowed;74HC595;
;B000028176;1;U03;SHFT 74HC595 8bit TSSOP16;74XX595;Allowed;74HC595;
;B000069554;1;U04;IC FLASH 8bit 64KB PIC18LF26K22 QFN28;QFN28;Allowed;PIC18LF26K22;
;B172234;1;04R09;RES 47 1% 100mW TF 0603;0603;Allowed;47;
