TITLE: ;Bill of Materials;
DATE: ;07/07/2026   14:44
DESIGN: ;TestDesign
Variant: ;
ROOM;PART_NUMBER;Qty;Ref Des;DESCRIPTION;PKGS;STATUS;VALUE;
IPSU_SUP;B151664;1;D0001;DIOD PROT ESD 24V 3.5A SOT323;DUAL_BIDI;Allowed;PESD2IVN24-UX;
IPSU_SUP;B000021351;1;C0005;CER 1nF 10% 50V X7R 0603;0603;Allowed;1nF;
IPSU_SUP;B000021351;1;C33;CER 1nF 10% 50V X7R 0603;0603;Allowed;1nF;
;B200613;1;081708R05;RES 3.3K 0.1% 100mW THIN 0603;0603;Allowed;3.3K;
;B172234;1;081708R06;RES 47 1% 100mW TF 0603;0603;Allowed;47;
;B172234;1;08R08;RES 47 1% 100mW TF 0603;0603;Allowed;47;
;B172234;1;081708R09;RES 47 1% 100mW TF 0603;0603;Allowed;47;
;B200613;1;08R07;RES 3.3K 0.1% 100mW THIN 0603;0603;Allowed;3.3K;
;B000068555;1;BLK0002;IR LED 850nm VSMY1850X01 0805;0805;Not for new design;VSMY1850X01;
;B000044612;1;J01;JST 01x08 SRSS ST NAT;8PIN2T;Recommended;BM08B-SRSS-TBT;
;B000044612;1;J02;JST 01x08 SRSS ST NAT;8PIN2T;Recommended;BM08B-SRSS-TBT;
;B000044612;1;J03;JST 01x08 SRSS ST NAT;8PIN2T;Recommended;BM08B-SRSS-TBT;
;B000021667;1;J04;PLATE LOUPOT 2.4x0.6 ST POLINE;1PIN;Allowed;EAVP 98196B2;
;B172234;1;08R06;RES 47 1% 100mW TF 0603;0603;Allowed;47;
;B000027624;1;Q01;TR-NET N/P BCR08PN SOT363;NP_EBC_2R;Recommended;QBCR08PN;
;B000027624;1;Q02;TR-NET N/P BCR08PN SOT363;NP_EBC_2R;Recommended;QBCR08PN;
;B000068555;1;D01;IR LED 850nm VSMY1850X01 0805;0805;Not for new design;VSMY1850X01;
;B200613;1;081708R07;RES 3.3K 0.1% 100mW THIN 0603;0603;Allowed;3.3K;
;B000028224;1;R0003;RC 22 5% 63mW TF 0402;0402;Recommended;22;
;B000031908;1;R0004;RES 3.3K 5% 63mW TF 0402;0402;Recommended;3.3K;
;B000031908;1;R0005;RES 3.3K 5% 63mW TF 0402;0402;Recommended;3.3K;
;B000031908;1;R0006;RES 3.3K 5% 63mW TF 0402;0402;Recommended;3.3K;
;B000031908;1;R01;RES 3.3K 5% 63mW TF 0402;0402;Recommended;3.3K;
;B000031908;1;R02;RES 3.3K 5% 63mW TF 0402;0402;Recommended;3.3K;
;B000068555;1;D02;IR LED 850nm VSMY1850X01 0805;0805;Not for new design;VSMY1850X01;
;B000028224;1;R04;RC 22 5% 63mW TF 0402;0402;Recommended;22;
;B000028224;1;R05;RC 22 5% 63mW TF 0402;0402;Recommended;22;
;B000028224;1;R06;RC 22 5% 63mW TF 0402;0402;Recommended;22;
;B000028343;1;R16;RC 47K 5% 63mW TF 0402;0402;Recommended;47K;
;B000028343;1;R17;RC 47K 5% 63mW TF 0402;0402;Recommended;47K;
;B000069554;1;U01;IC FLASH 8bit 64KB PIC18LF26K22 QFN28;QFN28;Allowed;PIC18LF26K22;
;B000028176;1;U02;SHFT 74HC595 8bit TSSOP16;74XX595;Allowed;74HC595;
;B000028176;1;U03;SHFT 74HC595 8bit TSSOP16;74XX595;Allowed;74HC595;
;B000028176;1;U04;SHFT 74HC595 8bit TSSOP16;74XX595;Allowed;74HC595;
;B200613;1;08R05;RES 3.3K 0.1% 100mW THIN 0603;0603;Allowed;3.3K;
